[11C-]#[O+]
[11CH3]C(=O)NCCCCCC(=O)Nc1ccccc1
[11CH3]C(N)C(=O)CCC(=O)O
[11CH3]c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
[11CH3]c1ccc(O)cc1C[C@H](N)C(=O)O
[11CH3]c1ccc(OC(=O)N2CCN3CCC2CC3)cc1
[11CH3]c1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1
[11CH3]c1ccccc1S[C@@H](c1ccccc1)[C@@H]1CNCCO1
[11CH3]N1[C@@H]2CC[C@@H]1[C@@H](c1cnc(Cl)c(-c3ccnc(F)c3)c1)C2
[11CH3]N1[C@@H]2CC[C@@H]1[C@@H](c1cncc(I)c1)C2
[11CH3]N1C(=O)C2(CCCCCN3CCc4sccc4C3)CCCc3cccc1c32
[11CH3]N1C(=O)C2(CCCCN3CCc4sccc4C3)CCCc3cccc1c32
[11CH3]n1c(CCC(=O)N2CCC[C@H]2C(=O)Nc2ccccc2-c2ccccc2)nc2ccccc21
[11CH3]n1c(SCC(=O)N2CCC[C@H]2C(=O)Nc2ccccc2-c2ccccc2)nc2ccccc21
[11CH3]N1C=C(C(=O)NC(=N)NCc2cccc(I)c2)Cc2ccccc21
[11CH3]n1c2c(c3ccccc31)C[C@@]1(O)[C@H]3Cc4ccc(O)c5c4[C@@]1(CCN3CC1CC1)[C@H]2O5
[11CH3]N1C2CCC1C(c1cncc(I)c1)C2
[11CH3]n1cc(-c2ccc3c(c2)c(C2CCN(CCN4CCNC4=O)CC2)cn3-c2ccc(F)cc2)nn1
[11CH3]n1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1
[11CH3]n1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21
[11CH3]n1cc(Sc2ccc(Cl)cc2)c(-c2ccc3ccc(C(N)=O)nc3c2)n1
[11CH3]N1CC[C@H](c2ccc(Cl)cc2)[C@@H](CSCC(=O)N2CCCCC2)C1
[11CH3]N1CC[C@H](c2ccc(Cl)cc2)[C@@H](CSCCO)C1
[11CH3]N1CC2C(=NO[C@H]2CN2CCN(C/C=C/c3ccccc3)CC2)c2ccccc21
[11CH3]N1CC2CN(c3ccc(-c4ccc5[nH]ccc5c4)nc3)CC21
[11CH3]N1CC2CN(c3ccc(-c4ccc5[nH]ccc5c4)nn3)CC2C1
[11CH3]N1CC2CN(c3ccc(-c4ccccc4)nn3)CC2C1
[11CH3]N1CC2CN(c3ccc4oc5ccccc5c(=O)c4c3)CC2C1
[11CH3]N1CCC[C@H]1COc1cnc(Cl)c(-c2ccnc(F)c2)c1
[11CH3]N1CCC[C@H]1COc1cnc(Cl)c(/C=C/c2ccncc2)c1
[11CH3]N1CCC[C@H]1COc1cnc(Cl)c(Oc2ccnc(F)c2)c1
[11CH3]N1CCC[C@H]1COc1cnc(Cl)c(OCc2ccc(Cl)nc2)c1
[11CH3]n1cccc1-c1nnc(N2CCN3CCC2CC3)o1
[11CH3]n1cccc1C(=O)[C@@H](c1ccccc1)N1CCCC1
[11CH3]n1cccc1C(=O)[C@H](c1ccccc1)N1CCCC1
[11CH3]N1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
